Location,Ticket#,Amount,Entry Time,Transaction Time,Payment Status
Sears Lot,S001,25,06/01/2025 10:15 AM,06/01/2025 10:15 AM,SUCCEEDED
Sears Lot,S002,25,06/01/2025 11:05 AM,06/01/2025 11:05 AM,SUCCEEDED
Sears Lot,S003,27,06/01/2025 11:22 AM,06/01/2025 11:22 AM,SUCCEEDED
Sears Lot,S004,27,06/01/2025 12:05 PM,06/01/2025 12:05 PM,SUCCEEDED
Sears Lot,S005,28,06/01/2025 12:40 PM,06/01/2025 12:40 PM,SUCCEEDED
Sears Lot,S006,25,06/02/2025 10:01 AM,06/02/2025 10:01 AM,SUCCEEDED
Sears Lot,S007,26,06/02/2025 11:11 AM,06/02/2025 11:11 AM,SUCCEEDED
Sears Lot,S008,26,06/02/2025 12:11 PM,06/02/2025 12:11 PM,SUCCEEDED
Sears Lot,S009,24,06/02/2025 1:01 PM,06/02/2025 1:01 PM,SUCCEEDED
Sears Lot,S010,22,06/02/2025 6:01 PM,06/02/2025 6:01 PM,SUCCEEDED
Sears Lot,S011,29,06/01/2026 10:15 AM,06/01/2026 10:15 AM,SUCCEEDED
Sears Lot,S012,27,06/01/2026 11:05 AM,06/01/2026 11:05 AM,SUCCEEDED
Sears Lot,S013,27,06/01/2026 12:05 PM,06/01/2026 12:05 PM,SUCCEEDED
Sears Lot,S014,27,06/01/2026 1:05 PM,06/01/2026 1:05 PM,SUCCEEDED
Sears Lot,S015,24,06/01/2026 6:05 PM,06/01/2026 6:05 PM,SUCCEEDED
Main Lot,M001,18,06/01/2025 9:15 AM,06/01/2025 9:15 AM,SUCCEEDED
Main Lot,M002,20,06/01/2025 10:15 AM,06/01/2025 10:15 AM,SUCCEEDED
Main Lot,M003,22,06/01/2025 11:15 AM,06/01/2025 11:15 AM,SUCCEEDED
Main Lot,M004,22,06/01/2026 11:15 AM,06/01/2026 11:15 AM,SUCCEEDED
Main Lot,M005,24,06/01/2026 12:15 PM,06/01/2026 12:15 PM,SUCCEEDED
