All - 07-04-2025 00:00 - 07-04-2025 23:59
Location,Ticket#,License Plate No.,Amount,Tax,Fee,Per Day Fee,Duration(hh:mm),Entry Time,Exit Time,Transaction Time,Ticket Status,Transaction Mode,Ticket Type,Transaction Description,Payment Status,Extended By,Reason
121 Windward Parking,TW79079,AIA2612,40.00,0.00,4.00,0.00,Until 03:00 AM,07/04/2025 11:30 PM,,07/04/2025 11:30 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
"5 Dudley ave, Venice",TQ85635,ANUBAYN,30.00,0.00,1.00,0.00,2:00,07/04/2025 11:30 PM,,07/04/2025 11:30 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1501 Main Parking,TU48539,7ZUM746,20.00,0.00,1.00,0.00,1:00,07/04/2025 11:27 PM,,07/04/2025 11:27 PM,Open,Card,Regular,,SUCCEEDED,,
816 Washington Parking (Scopa 2),TM55921,9LWD605,10.00,0.00,1.00,0.00,0:30,07/04/2025 11:22 PM,,07/04/2025 11:22 PM,Open,Card,Regular,,SUCCEEDED,,
124 Washington Parking (Grand Canal),TG46848,9BLG602,80.00,0.00,1.00,0.00,Until 02:00 AM,07/04/2025 11:19 PM,,07/04/2025 11:19 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
"5 Dudley ave, Venice",TZ55083,6MBV265,25.00,0.00,1.00,0.00,1:00,07/04/2025 11:15 PM,,07/04/2025 11:15 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TU11203,8KRALL6,10.00,0.00,1.00,0.00,0:30,07/04/2025 11:15 PM,,07/04/2025 11:15 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TU11203-EXT,8KRALL6,10.00,0.00,1.00,0.00,0:30,07/04/2025 11:15 PM,,07/04/2025 11:48 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
601 Ocean Front Walk,TW36528,8UZN664,15.00,0.00,1.00,0.00,1:00,07/04/2025 11:07 PM,,07/04/2025 11:07 PM,Open,Card,Regular,,SUCCEEDED,,
121 Windward Parking,TC18007,SYF7895,20.00,0.00,2.00,0.00,1:00,07/04/2025 11:02 PM,,07/04/2025 11:02 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
816 Washington Parking (Scopa 2),TK98356,CK13410,10.00,0.00,1.00,0.00,0:30,07/04/2025 11:00 PM,,07/04/2025 11:00 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
2913 Washington Parking (Scopa 1),TL22680,9DLU64,15.00,0.00,1.00,0.00,2:00,07/04/2025 10:59 PM,,07/04/2025 10:59 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TM32299,9JGW880,10.00,0.00,1.00,0.00,0:30,07/04/2025 10:55 PM,,07/04/2025 10:55 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TM32299-EXT,9JGW880,10.00,0.00,1.00,0.00,0:30,07/04/2025 10:55 PM,,07/04/2025 11:18 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
100 Venice Way Parking,TA51248,295205,40.00,0.00,4.00,0.00,Until 02:00 AM,07/04/2025 10:54 PM,,07/04/2025 10:54 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TD55381,9NKA191,30.00,0.00,3.00,0.00,2:00,07/04/2025 10:52 PM,,07/04/2025 10:52 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
601 Ocean Front Walk,TC53565,9CYK823,15.00,0.00,1.00,0.00,1:00,07/04/2025 10:39 PM,,07/04/2025 10:39 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
407 Colorado Parking,TT86760,70924A4,60.00,0.00,1.00,0.00,23:59,07/04/2025 10:37 PM,,07/04/2025 10:37 PM,Open,Card,Regular,,SUCCEEDED,,
121 Windward Parking,TX70742,9HGD132,40.00,0.00,4.00,0.00,Until 03:00 AM,07/04/2025 10:33 PM,,07/04/2025 10:33 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
801 Ocean Front Walk,TY40971,9MOA789,20.00,0.00,1.00,0.00,1:00,07/04/2025 10:25 PM,,07/04/2025 10:25 PM,Open,Card,Regular,,SUCCEEDED,,
3016 Main Parking,TJ14394,8GPP420,30.00,0.00,1.00,0.00,Until 10:00 AM,07/04/2025 10:19 PM,,07/04/2025 10:19 PM,Open,Card,Regular,,SUCCEEDED,,
121 Windward Parking,TZ63204,C97VFK,10.00,0.00,1.00,0.00,0:30,07/04/2025 10:17 PM,,07/04/2025 10:17 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
601 Ocean Front Walk,TZ11309,DXEJ85,15.00,0.00,1.00,0.00,1:00,07/04/2025 10:15 PM,,07/04/2025 10:15 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TY91894,8ZQC856,40.00,0.00,4.00,0.00,Until 03:00 AM,07/04/2025 10:14 PM,,07/04/2025 10:14 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TM39476,9AMS935,10.00,0.00,1.00,0.00,0:30,07/04/2025 10:11 PM,,07/04/2025 10:11 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
2913 Washington Parking (Scopa 1),TL00095,TMS2819,15.00,0.00,1.00,0.00,2:00,07/04/2025 10:10 PM,,07/04/2025 10:10 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TM66405,9AFR034,30.00,0.00,3.00,0.00,2:00,07/04/2025 10:08 PM,,07/04/2025 10:08 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TT98646,8SOL371,45.00,0.00,1.00,0.00,Until 10:00 AM,07/04/2025 10:07 PM,,07/04/2025 10:07 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
3016 Main Parking,TP99549,TYN1757,25.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 03:45 PM,,07/04/2025 03:45 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
220 Rose Parking,TZ05211,9JDJ259,30.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 03:40 PM,,07/04/2025 03:40 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TL73084,89174Y3,20.00,0.00,2.00,0.00,1:00,07/04/2025 03:36 PM,,07/04/2025 03:36 PM,Open,Card,Regular,,SUCCEEDED,,
121 Windward Parking,TL73084-EXT,89174Y3,10.00,0.00,1.00,0.00,1:00,07/04/2025 03:36 PM,,07/04/2025 04:02 PM,Open,Card,Regular,,SUCCEEDED,Parker,
220 Rose Parking,TM89404,746917E,30.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 03:34 PM,,07/04/2025 03:34 PM,Open,Card,Regular,,SUCCEEDED,,
220 Rose Parking,TZ55159,8V0S731,30.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 03:31 PM,,07/04/2025 03:31 PM,Open,Card,Regular,,SUCCEEDED,,
1715 Pacific Parking,TW85394,9ROX980,20.00,0.00,1.00,0.00,1:00,07/04/2025 03:30 PM,,07/04/2025 03:30 PM,Open,Card,Regular,,SUCCEEDED,,
1715 Pacific Parking,TW85394-EXT,9ROX980,10.00,0.00,1.00,0.00,1:00,07/04/2025 03:30 PM,,07/04/2025 04:32 PM,Open,Card,Regular,,SUCCEEDED,Parker,
3016 Main Parking,TB53279,9JUN273,25.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 03:25 PM,,07/04/2025 03:25 PM,Open,Card,Regular,,SUCCEEDED,,
220 Rose Parking,TW57793,8EOT664,30.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 03:23 PM,,07/04/2025 03:23 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TG71696,CHY4600,10.00,0.00,1.00,0.00,0:30,07/04/2025 03:23 PM,,07/04/2025 03:23 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TG71696-EXT,CHY4600,10.00,0.00,1.00,0.00,0:30,07/04/2025 03:23 PM,,07/04/2025 03:46 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
1501 Main Parking,TY34448,7HUH214,30.00,0.00,1.00,0.00,2:00,07/04/2025 03:22 PM,,07/04/2025 03:22 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TL39690,8YWW351,30.00,0.00,3.00,0.00,2:00,07/04/2025 03:22 PM,,07/04/2025 03:22 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
701  Ocean Front Walk,TR41032,9LGS267,35.00,0.00,0.00,0.00,Until 08:00 PM,07/04/2025 03:19 PM,,07/04/2025 03:19 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TK97175,7YWG681,30.00,0.00,1.00,0.00,2:00,07/04/2025 03:19 PM,,07/04/2025 03:19 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TU36035,8PEP091,40.00,0.00,4.00,0.00,Until 03:00 AM,07/04/2025 03:16 PM,,07/04/2025 03:16 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TK30011,9JFD796,30.00,0.00,3.00,0.00,2:00,07/04/2025 03:11 PM,,07/04/2025 03:11 PM,Open,Card,Regular,,SUCCEEDED,,
220 Rose Parking,TL49232,8PDX479,30.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 03:10 PM,,07/04/2025 03:10 PM,Open,Card,Regular,,SUCCEEDED,,
121 Windward Parking,TD85948,193DKD,20.00,0.00,2.00,0.00,1:00,07/04/2025 03:10 PM,,07/04/2025 03:10 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TD85948-EXT,193DKD,10.00,0.00,1.00,0.00,1:00,07/04/2025 03:10 PM,,07/04/2025 04:02 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
220 Rose Parking,TB48258,8CGY108,15.00,0.00,1.00,0.00,1:00,07/04/2025 03:06 PM,,07/04/2025 03:06 PM,Open,Card,Regular,,SUCCEEDED,,
3016 Main Parking,TA50938,6SMK450,25.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 03:06 PM,,07/04/2025 03:06 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
3016 Main Parking,TG68668,9PQD324,10.00,0.00,1.00,0.00,1:00,07/04/2025 03:05 PM,,07/04/2025 03:05 PM,Open,Card,Regular,,SUCCEEDED,,
3016 Main Parking,TG68668-EXT,9PQD324,10.00,0.00,1.00,0.00,1:00,07/04/2025 03:05 PM,,07/04/2025 03:23 PM,Open,Card,Regular,,SUCCEEDED,Parker,
1715 Pacific Parking,TU28658,EUR0605,30.00,0.00,1.00,0.00,2:00,07/04/2025 03:04 PM,,07/04/2025 03:04 PM,Open,Card,Regular,,SUCCEEDED,,
1715 Pacific Parking,TU28658-EXT,EUR0605,10.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 03:04 PM,,07/04/2025 05:03 PM,Open,Card,Regular,,SUCCEEDED,Parker,
3016 Main Parking,TR76223,9HXD558,10.00,0.00,1.00,0.00,1:00,07/04/2025 03:04 PM,,07/04/2025 03:04 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
3016 Main Parking,TR76223-EXT,9HXD558,10.00,0.00,1.00,0.00,1:00,07/04/2025 03:04 PM,,07/04/2025 03:20 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
407 Colorado Parking,TE97150,RTZR81,50.00,0.00,1.00,0.00,23:59,07/04/2025 03:03 PM,,07/04/2025 03:03 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TH76603,401Y32,30.00,0.00,3.00,0.00,2:00,07/04/2025 03:03 PM,,07/04/2025 03:03 PM,Open,Card,Regular,,SUCCEEDED,,
100 Venice Way Parking,TZ00978,9LSR023,30.00,0.00,3.00,0.00,2:00,07/04/2025 03:03 PM,,07/04/2025 03:03 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TP93343,8PHK979,20.00,0.00,2.00,0.00,1:00,07/04/2025 03:01 PM,,07/04/2025 03:01 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1501 Main Parking,TL76531,9LQW631,40.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 03:01 PM,,07/04/2025 03:01 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
18th Avenue Parking,TV32492,9STR370,15.00,0.00,1.00,0.00,2:00,07/04/2025 02:59 PM,,07/04/2025 02:59 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1501 Main Parking,TV66080,7BYW607,30.00,0.00,1.00,0.00,2:00,07/04/2025 02:59 PM,,07/04/2025 02:59 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1501 Main Parking,TV66080-EXT,7BYW607,10.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 02:59 PM,,07/04/2025 05:04 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
1501 Main Parking,TJ18113,BNA2DW,25.00,0.00,1.00,0.00,1:00,07/04/2025 02:58 PM,,07/04/2025 02:58 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TP06878,9SHCO42,30.00,0.00,3.00,0.00,2:00,07/04/2025 02:57 PM,,07/04/2025 02:57 PM,Open,Card,Regular,,SUCCEEDED,,
102 Washington Parking (Arbor),TA24759,8NSV326,100.00,0.00,10.00,0.00,Until 02:00 AM,07/04/2025 02:56 PM,,07/04/2025 02:56 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1501 Main Parking,TA12933,CVT2837,30.00,0.00,1.00,0.00,2:00,07/04/2025 02:55 PM,,07/04/2025 02:55 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1501 Main Parking,TA12933-EXT,CVT2837,10.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 02:55 PM,,07/04/2025 04:47 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
1501 Main Parking,TU62723,6HUH736,30.00,0.00,1.00,0.00,2:00,07/04/2025 02:52 PM,,07/04/2025 02:52 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
